Date_ID,Date,Year,Month,Month Name,Quarter
D-0000117,2009-09-01T00:00:00,2009,9,September,Q3
D-0000118,2009-10-01T00:00:00,2009,10,October,Q4
D-0000119,2009-11-01T00:00:00,2009,11,November,Q4
D-0000120,2009-12-01T00:00:00,2009,12,December,Q4
D-0000121,2010-01-01T00:00:00,2010,1,January,Q1
D-0000122,2010-02-01T00:00:00,2010,2,February,Q1
D-0000123,2010-03-01T00:00:00,2010,3,March,Q1
D-0000124,2010-04-01T00:00:00,2010,4,April,Q2
D-0000125,2010-05-01T00:00:00,2010,5,May,Q2
D-0000126,2010-06-01T00:00:00,2010,6,June,Q2
D-0000127,2010-07-01T00:00:00,2010,7,July,Q3
D-0000128,2010-08-01T00:00:00,2010,8,August,Q3
D-0000129,2010-09-01T00:00:00,2010,9,September,Q3
D-0000130,2010-10-01T00:00:00,2010,10,October,Q4
D-0000131,2010-11-01T00:00:00,2010,11,November,Q4
D-0000132,2010-12-01T00:00:00,2010,12,December,Q4
D-0000133,2011-01-01T00:00:00,2011,1,January,Q1
D-0000134,2011-02-01T00:00:00,2011,2,February,Q1
D-0000135,2011-03-01T00:00:00,2011,3,March,Q1
D-0000136,2011-04-01T00:00:00,2011,4,April,Q2
D-0000137,2011-05-01T00:00:00,2011,5,May,Q2
D-0000138,2011-06-01T00:00:00,2011,6,June,Q2
D-0000139,2011-07-01T00:00:00,2011,7,July,Q3
D-0000140,2011-08-01T00:00:00,2011,8,August,Q3
D-0000141,2011-09-01T00:00:00,2011,9,September,Q3
D-0000142,2011-10-01T00:00:00,2011,10,October,Q4
D-0000143,2011-11-01T00:00:00,2011,11,November,Q4
D-0000144,2011-12-01T00:00:00,2011,12,December,Q4
D-0000145,2012-01-01T00:00:00,2012,1,January,Q1
D-0000146,2012-02-01T00:00:00,2012,2,February,Q1
D-0000147,2012-03-01T00:00:00,2012,3,March,Q1
D-0000148,2012-04-01T00:00:00,2012,4,April,Q2
D-0000149,2012-05-01T00:00:00,2012,5,May,Q2
D-0000150,2012-06-01T00:00:00,2012,6,June,Q2
D-0000151,2012-07-01T00:00:00,2012,7,July,Q3
D-0000152,2012-08-01T00:00:00,2012,8,August,Q3
D-0000153,2012-09-01T00:00:00,2012,9,September,Q3
D-0000154,2012-10-01T00:00:00,2012,10,October,Q4
D-0000155,2012-11-01T00:00:00,2012,11,November,Q4
D-0000156,2012-12-01T00:00:00,2012,12,December,Q4
D-0000157,2013-01-01T00:00:00,2013,1,January,Q1
D-0000158,2013-02-01T00:00:00,2013,2,February,Q1
D-0000159,2013-03-01T00:00:00,2013,3,March,Q1
D-0000160,2013-04-01T00:00:00,2013,4,April,Q2
D-0000161,2013-05-01T00:00:00,2013,5,May,Q2
D-0000162,2013-06-01T00:00:00,2013,6,June,Q2
D-0000163,2013-07-01T00:00:00,2013,7,July,Q3
D-0000164,2013-08-01T00:00:00,2013,8,August,Q3
D-0000165,2013-09-01T00:00:00,2013,9,September,Q3
D-0000166,2013-10-01T00:00:00,2013,10,October,Q4
D-0000167,2013-11-01T00:00:00,2013,11,November,Q4
D-0000168,2013-12-01T00:00:00,2013,12,December,Q4
D-0000169,2014-01-01T00:00:00,2014,1,January,Q1
D-0000170,2014-02-01T00:00:00,2014,2,February,Q1
D-0000171,2014-03-01T00:00:00,2014,3,March,Q1
D-0000172,2014-04-01T00:00:00,2014,4,April,Q2
D-0000173,2014-05-01T00:00:00,2014,5,May,Q2
D-0000174,2014-06-01T00:00:00,2014,6,June,Q2
D-0000175,2014-07-01T00:00:00,2014,7,July,Q3
D-0000176,2014-08-01T00:00:00,2014,8,August,Q3
D-0000177,2014-09-01T00:00:00,2014,9,September,Q3
D-0000178,2014-10-01T00:00:00,2014,10,October,Q4
D-0000179,2014-11-01T00:00:00,2014,11,November,Q4
D-0000180,2014-12-01T00:00:00,2014,12,December,Q4
D-0000181,2015-01-01T00:00:00,2015,1,January,Q1
D-0000182,2015-02-01T00:00:00,2015,2,February,Q1
D-0000183,2015-03-01T00:00:00,2015,3,March,Q1
D-0000184,2015-04-01T00:00:00,2015,4,April,Q2
D-0000185,2015-05-01T00:00:00,2015,5,May,Q2
D-0000186,2015-06-01T00:00:00,2015,6,June,Q2
D-0000187,2015-07-01T00:00:00,2015,7,July,Q3
D-0000188,2015-08-01T00:00:00,2015,8,August,Q3
D-0000189,2015-09-01T00:00:00,2015,9,September,Q3
D-0000190,2015-10-01T00:00:00,2015,10,October,Q4
D-0000191,2015-11-01T00:00:00,2015,11,November,Q4
D-0000192,2015-12-01T00:00:00,2015,12,December,Q4
D-0000193,2016-01-01T00:00:00,2016,1,January,Q1
D-0000194,2016-02-01T00:00:00,2016,2,February,Q1
D-0000195,2016-03-01T00:00:00,2016,3,March,Q1
D-0000196,2016-04-01T00:00:00,2016,4,April,Q2
D-0000197,2016-05-01T00:00:00,2016,5,May,Q2
D-0000198,2016-06-01T00:00:00,2016,6,June,Q2
D-0000199,2016-07-01T00:00:00,2016,7,July,Q3
D-0000200,2016-08-01T00:00:00,2016,8,August,Q3
D-0000201,2016-09-01T00:00:00,2016,9,September,Q3
D-0000202,2016-10-01T00:00:00,2016,10,October,Q4
D-0000203,2016-11-01T00:00:00,2016,11,November,Q4
D-0000204,2016-12-01T00:00:00,2016,12,December,Q4
D-0000205,2017-01-01T00:00:00,2017,1,January,Q1
D-0000206,2017-02-01T00:00:00,2017,2,February,Q1
D-0000207,2017-03-01T00:00:00,2017,3,March,Q1
D-0000208,2017-04-01T00:00:00,2017,4,April,Q2
D-0000209,2017-05-01T00:00:00,2017,5,May,Q2
D-0000210,2017-06-01T00:00:00,2017,6,June,Q2
D-0000211,2017-07-01T00:00:00,2017,7,July,Q3
D-0000212,2017-08-01T00:00:00,2017,8,August,Q3
D-0000213,2017-09-01T00:00:00,2017,9,September,Q3
D-0000214,2017-10-01T00:00:00,2017,10,October,Q4
D-0000215,2017-11-01T00:00:00,2017,11,November,Q4
D-0000216,2017-12-01T00:00:00,2017,12,December,Q4
D-0000217,2018-01-01T00:00:00,2018,1,January,Q1
D-0000218,2018-02-01T00:00:00,2018,2,February,Q1
D-0000219,2018-03-01T00:00:00,2018,3,March,Q1
D-0000220,2018-04-01T00:00:00,2018,4,April,Q2
D-0000221,2018-05-01T00:00:00,2018,5,May,Q2
D-0000222,2018-06-01T00:00:00,2018,6,June,Q2
D-0000223,2018-07-01T00:00:00,2018,7,July,Q3
D-0000224,2018-08-01T00:00:00,2018,8,August,Q3
D-0000225,2018-09-01T00:00:00,2018,9,September,Q3
D-0000226,2018-10-01T00:00:00,2018,10,October,Q4
D-0000227,2018-11-01T00:00:00,2018,11,November,Q4
D-0000228,2018-12-01T00:00:00,2018,12,December,Q4
D-0000229,2019-01-01T00:00:00,2019,1,January,Q1
D-0000230,2019-02-01T00:00:00,2019,2,February,Q1
D-0000231,2019-03-01T00:00:00,2019,3,March,Q1
D-0000232,2019-04-01T00:00:00,2019,4,April,Q2
D-0000233,2019-05-01T00:00:00,2019,5,May,Q2
D-0000234,2019-06-01T00:00:00,2019,6,June,Q2
D-0000235,2019-07-01T00:00:00,2019,7,July,Q3
D-0000236,2019-08-01T00:00:00,2019,8,August,Q3
D-0000237,2019-09-01T00:00:00,2019,9,September,Q3
D-0000238,2019-10-01T00:00:00,2019,10,October,Q4
D-0000239,2019-11-01T00:00:00,2019,11,November,Q4
D-0000240,2019-12-01T00:00:00,2019,12,December,Q4
D-0000241,2020-01-01T00:00:00,2020,1,January,Q1
D-0000242,2020-02-01T00:00:00,2020,2,February,Q1
D-0000243,2020-03-01T00:00:00,2020,3,March,Q1
D-0000244,2020-04-01T00:00:00,2020,4,April,Q2
D-0000245,2020-05-01T00:00:00,2020,5,May,Q2
D-0000246,2020-06-01T00:00:00,2020,6,June,Q2
D-0000247,2020-07-01T00:00:00,2020,7,July,Q3
D-0000248,2020-08-01T00:00:00,2020,8,August,Q3
D-0000249,2020-09-01T00:00:00,2020,9,September,Q3
D-0000250,2020-10-01T00:00:00,2020,10,October,Q4
D-0000251,2020-11-01T00:00:00,2020,11,November,Q4
D-0000252,2020-12-01T00:00:00,2020,12,December,Q4
D-0000253,2021-01-01T00:00:00,2021,1,January,Q1
D-0000254,2021-02-01T00:00:00,2021,2,February,Q1
D-0000255,2021-03-01T00:00:00,2021,3,March,Q1
D-0000256,2021-04-01T00:00:00,2021,4,April,Q2
D-0000257,2021-05-01T00:00:00,2021,5,May,Q2
D-0000258,2021-06-01T00:00:00,2021,6,June,Q2
D-0000259,2021-07-01T00:00:00,2021,7,July,Q3
D-0000260,2021-08-01T00:00:00,2021,8,August,Q3
D-0000261,2021-09-01T00:00:00,2021,9,September,Q3
D-0000262,2021-10-01T00:00:00,2021,10,October,Q4
D-0000263,2021-11-01T00:00:00,2021,11,November,Q4
D-0000264,2021-12-01T00:00:00,2021,12,December,Q4
D-0000265,2022-01-01T00:00:00,2022,1,January,Q1
D-0000266,2022-02-01T00:00:00,2022,2,February,Q1
D-0000267,2022-03-01T00:00:00,2022,3,March,Q1
D-0000268,2022-04-01T00:00:00,2022,4,April,Q2
D-0000269,2022-05-01T00:00:00,2022,5,May,Q2
D-0000270,2022-06-01T00:00:00,2022,6,June,Q2
D-0000271,2022-07-01T00:00:00,2022,7,July,Q3
D-0000272,2022-08-01T00:00:00,2022,8,August,Q3
D-0000273,2022-09-01T00:00:00,2022,9,September,Q3
D-0000274,2022-10-01T00:00:00,2022,10,October,Q4
D-0000275,2022-11-01T00:00:00,2022,11,November,Q4
D-0000276,2022-12-01T00:00:00,2022,12,December,Q4
D-0000277,2023-01-01T00:00:00,2023,1,January,Q1
D-0000278,2023-02-01T00:00:00,2023,2,February,Q1
D-0000279,2023-03-01T00:00:00,2023,3,March,Q1
D-0000280,2023-04-01T00:00:00,2023,4,April,Q2
D-0000281,2023-05-01T00:00:00,2023,5,May,Q2
D-0000282,2023-06-01T00:00:00,2023,6,June,Q2
D-0000283,2023-07-01T00:00:00,2023,7,July,Q3
D-0000284,2023-08-01T00:00:00,2023,8,August,Q3
D-0000285,2023-09-01T00:00:00,2023,9,September,Q3
D-0000286,2023-10-01T00:00:00,2023,10,October,Q4
D-0000287,2023-11-01T00:00:00,2023,11,November,Q4
D-0000288,2023-12-01T00:00:00,2023,12,December,Q4
D-0000289,2024-01-01T00:00:00,2024,1,January,Q1
D-0000290,2024-02-01T00:00:00,2024,2,February,Q1
D-0000291,2024-03-01T00:00:00,2024,3,March,Q1
D-0000292,2024-04-01T00:00:00,2024,4,April,Q2
D-0000293,2024-05-01T00:00:00,2024,5,May,Q2
D-0000294,2024-06-01T00:00:00,2024,6,June,Q2
D-0000295,2024-07-01T00:00:00,2024,7,July,Q3
D-0000296,2024-08-01T00:00:00,2024,8,August,Q3
D-0000297,2024-09-01T00:00:00,2024,9,September,Q3
D-0000298,2024-10-01T00:00:00,2024,10,October,Q4
D-0000299,2024-11-01T00:00:00,2024,11,November,Q4
D-0000300,2024-12-01T00:00:00,2024,12,December,Q4
D-0000301,2025-01-01T00:00:00,2025,1,January,Q1
D-0000302,2025-02-01T00:00:00,2025,2,February,Q1
D-0000303,2025-03-01T00:00:00,2025,3,March,Q1
D-0000304,2000-01-01T00:00:00,2000,1,January,Q1
D-0000305,2000-02-01T00:00:00,2000,2,February,Q1
D-0000306,2000-03-01T00:00:00,2000,3,March,Q1
D-0000307,2000-04-01T00:00:00,2000,4,April,Q2
D-0000308,2000-05-01T00:00:00,2000,5,May,Q2
D-0000309,2000-06-01T00:00:00,2000,6,June,Q2
D-0000310,2000-07-01T00:00:00,2000,7,July,Q3
D-0000311,2000-08-01T00:00:00,2000,8,August,Q3
D-0000312,2000-09-01T00:00:00,2000,9,September,Q3
D-0000313,2000-10-01T00:00:00,2000,10,October,Q4
D-0000314,2000-11-01T00:00:00,2000,11,November,Q4
D-0000315,2000-12-01T00:00:00,2000,12,December,Q4
D-0000316,2001-01-01T00:00:00,2001,1,January,Q1
D-0000317,2001-02-01T00:00:00,2001,2,February,Q1
D-0000318,2001-03-01T00:00:00,2001,3,March,Q1
D-0000319,2001-04-01T00:00:00,2001,4,April,Q2
D-0000320,2001-05-01T00:00:00,2001,5,May,Q2
D-0000321,2001-06-01T00:00:00,2001,6,June,Q2
D-0000322,2001-07-01T00:00:00,2001,7,July,Q3
D-0000323,2001-08-01T00:00:00,2001,8,August,Q3
D-0000324,2001-09-01T00:00:00,2001,9,September,Q3
D-0000325,2001-10-01T00:00:00,2001,10,October,Q4
D-0000326,2001-11-01T00:00:00,2001,11,November,Q4
D-0000327,2001-12-01T00:00:00,2001,12,December,Q4
D-0000328,2002-01-01T00:00:00,2002,1,January,Q1
D-0000329,2002-02-01T00:00:00,2002,2,February,Q1
D-0000330,2002-03-01T00:00:00,2002,3,March,Q1
D-0000331,2002-04-01T00:00:00,2002,4,April,Q2
D-0000332,2002-05-01T00:00:00,2002,5,May,Q2
D-0000333,2002-06-01T00:00:00,2002,6,June,Q2
D-0000334,2002-07-01T00:00:00,2002,7,July,Q3
D-0000335,2002-08-01T00:00:00,2002,8,August,Q3
D-0000336,2002-09-01T00:00:00,2002,9,September,Q3
D-0000337,2002-10-01T00:00:00,2002,10,October,Q4
D-0000338,2002-11-01T00:00:00,2002,11,November,Q4
D-0000339,2002-12-01T00:00:00,2002,12,December,Q4
D-0000340,2003-01-01T00:00:00,2003,1,January,Q1
D-0000341,2003-02-01T00:00:00,2003,2,February,Q1
D-0000342,2003-03-01T00:00:00,2003,3,March,Q1
D-0000343,2003-04-01T00:00:00,2003,4,April,Q2
D-0000344,2003-05-01T00:00:00,2003,5,May,Q2
D-0000345,2003-06-01T00:00:00,2003,6,June,Q2
D-0000346,2003-07-01T00:00:00,2003,7,July,Q3
D-0000347,2003-08-01T00:00:00,2003,8,August,Q3
D-0000348,2003-09-01T00:00:00,2003,9,September,Q3
D-0000349,2003-10-01T00:00:00,2003,10,October,Q4
D-0000350,2003-11-01T00:00:00,2003,11,November,Q4
D-0000351,2003-12-01T00:00:00,2003,12,December,Q4
D-0000352,2004-01-01T00:00:00,2004,1,January,Q1
D-0000353,2004-02-01T00:00:00,2004,2,February,Q1
D-0000354,2004-03-01T00:00:00,2004,3,March,Q1
D-0000355,2004-04-01T00:00:00,2004,4,April,Q2
D-0000356,2004-05-01T00:00:00,2004,5,May,Q2
D-0000357,2004-06-01T00:00:00,2004,6,June,Q2
D-0000358,2004-07-01T00:00:00,2004,7,July,Q3
D-0000359,2004-08-01T00:00:00,2004,8,August,Q3
D-0000360,2004-09-01T00:00:00,2004,9,September,Q3
D-0000361,2004-10-01T00:00:00,2004,10,October,Q4
D-0000362,2004-11-01T00:00:00,2004,11,November,Q4
D-0000363,2004-12-01T00:00:00,2004,12,December,Q4
D-0000364,2005-01-01T00:00:00,2005,1,January,Q1
D-0000365,2005-02-01T00:00:00,2005,2,February,Q1
D-0000366,2005-03-01T00:00:00,2005,3,March,Q1
D-0000367,2005-04-01T00:00:00,2005,4,April,Q2
D-0000368,2005-05-01T00:00:00,2005,5,May,Q2
D-0000369,2005-06-01T00:00:00,2005,6,June,Q2
D-0000370,2005-07-01T00:00:00,2005,7,July,Q3
D-0000371,2005-08-01T00:00:00,2005,8,August,Q3
D-0000372,2005-09-01T00:00:00,2005,9,September,Q3
D-0000373,2005-10-01T00:00:00,2005,10,October,Q4
D-0000374,2005-11-01T00:00:00,2005,11,November,Q4
D-0000375,2005-12-01T00:00:00,2005,12,December,Q4
D-0000376,2006-01-01T00:00:00,2006,1,January,Q1
D-0000377,2006-02-01T00:00:00,2006,2,February,Q1
D-0000378,2006-03-01T00:00:00,2006,3,March,Q1
D-0000379,2006-04-01T00:00:00,2006,4,April,Q2
D-0000380,2006-05-01T00:00:00,2006,5,May,Q2
D-0000381,2006-06-01T00:00:00,2006,6,June,Q2
D-0000382,2006-07-01T00:00:00,2006,7,July,Q3
D-0000383,2006-08-01T00:00:00,2006,8,August,Q3
D-0000384,2006-09-01T00:00:00,2006,9,September,Q3
D-0000385,2006-10-01T00:00:00,2006,10,October,Q4
D-0000386,2006-11-01T00:00:00,2006,11,November,Q4
D-0000387,2006-12-01T00:00:00,2006,12,December,Q4
D-0000388,2007-01-01T00:00:00,2007,1,January,Q1
D-0000389,2007-02-01T00:00:00,2007,2,February,Q1
D-0000390,2007-03-01T00:00:00,2007,3,March,Q1
D-0000391,2007-04-01T00:00:00,2007,4,April,Q2
D-0000392,2007-05-01T00:00:00,2007,5,May,Q2
D-0000393,2007-06-01T00:00:00,2007,6,June,Q2
D-0000394,2007-07-01T00:00:00,2007,7,July,Q3
D-0000395,2007-08-01T00:00:00,2007,8,August,Q3
D-0000396,2007-09-01T00:00:00,2007,9,September,Q3
D-0000397,2007-10-01T00:00:00,2007,10,October,Q4
D-0000398,2007-11-01T00:00:00,2007,11,November,Q4
D-0000399,2007-12-01T00:00:00,2007,12,December,Q4
D-0000400,2008-01-01T00:00:00,2008,1,January,Q1
D-0000401,2008-02-01T00:00:00,2008,2,February,Q1
D-0000402,2008-03-01T00:00:00,2008,3,March,Q1
D-0000403,2008-04-01T00:00:00,2008,4,April,Q2
D-0000404,2008-05-01T00:00:00,2008,5,May,Q2
D-0000405,2008-06-01T00:00:00,2008,6,June,Q2
D-0000406,2008-07-01T00:00:00,2008,7,July,Q3
D-0000407,2008-08-01T00:00:00,2008,8,August,Q3
D-0000408,2008-09-01T00:00:00,2008,9,September,Q3
D-0000409,2008-10-01T00:00:00,2008,10,October,Q4
D-0000410,2008-11-01T00:00:00,2008,11,November,Q4
D-0000411,2008-12-01T00:00:00,2008,12,December,Q4
D-0000412,2009-01-01T00:00:00,2009,1,January,Q1
D-0000413,2009-02-01T00:00:00,2009,2,February,Q1
D-0000414,2009-03-01T00:00:00,2009,3,March,Q1
D-0000415,2009-04-01T00:00:00,2009,4,April,Q2
D-0000416,2009-05-01T00:00:00,2009,5,May,Q2
D-0000417,2009-06-01T00:00:00,2009,6,June,Q2
D-0000418,2009-07-01T00:00:00,2009,7,July,Q3
D-0000419,2009-08-01T00:00:00,2009,8,August,Q3
D-0000420,2009-09-01T00:00:00,2009,9,September,Q3
D-0000421,2009-10-01T00:00:00,2009,10,October,Q4
D-0000422,2009-11-01T00:00:00,2009,11,November,Q4
D-0000423,2009-12-01T00:00:00,2009,12,December,Q4
D-0000424,2010-01-01T00:00:00,2010,1,January,Q1
D-0000425,2010-02-01T00:00:00,2010,2,February,Q1
D-0000426,2010-03-01T00:00:00,2010,3,March,Q1
D-0000427,2010-04-01T00:00:00,2010,4,April,Q2
D-0000428,2010-05-01T00:00:00,2010,5,May,Q2
D-0000429,2010-06-01T00:00:00,2010,6,June,Q2
D-0000430,2010-07-01T00:00:00,2010,7,July,Q3
D-0000431,2010-08-01T00:00:00,2010,8,August,Q3
D-0000432,2010-09-01T00:00:00,2010,9,September,Q3
D-0000433,2010-10-01T00:00:00,2010,10,October,Q4
D-0000434,2010-11-01T00:00:00,2010,11,November,Q4
D-0000435,2010-12-01T00:00:00,2010,12,December,Q4
D-0000436,2011-01-01T00:00:00,2011,1,January,Q1
D-0000437,2011-02-01T00:00:00,2011,2,February,Q1
D-0000438,2011-03-01T00:00:00,2011,3,March,Q1
D-0000439,2011-04-01T00:00:00,2011,4,April,Q2
D-0000440,2011-05-01T00:00:00,2011,5,May,Q2
D-0000441,2011-06-01T00:00:00,2011,6,June,Q2
D-0000442,2011-07-01T00:00:00,2011,7,July,Q3
D-0000443,2011-08-01T00:00:00,2011,8,August,Q3
D-0000444,2011-09-01T00:00:00,2011,9,September,Q3
D-0000445,2011-10-01T00:00:00,2011,10,October,Q4
D-0000446,2011-11-01T00:00:00,2011,11,November,Q4
D-0000447,2011-12-01T00:00:00,2011,12,December,Q4
D-0000448,2012-01-01T00:00:00,2012,1,January,Q1
D-0000449,2012-02-01T00:00:00,2012,2,February,Q1
D-0000450,2012-03-01T00:00:00,2012,3,March,Q1
D-0000451,2012-04-01T00:00:00,2012,4,April,Q2
D-0000452,2012-05-01T00:00:00,2012,5,May,Q2
D-0000453,2012-06-01T00:00:00,2012,6,June,Q2
D-0000454,2012-07-01T00:00:00,2012,7,July,Q3
D-0000455,2012-08-01T00:00:00,2012,8,August,Q3
D-0000456,2012-09-01T00:00:00,2012,9,September,Q3
D-0000457,2012-10-01T00:00:00,2012,10,October,Q4
D-0000458,2012-11-01T00:00:00,2012,11,November,Q4
D-0000459,2012-12-01T00:00:00,2012,12,December,Q4
D-0000460,2013-01-01T00:00:00,2013,1,January,Q1
D-0000461,2013-02-01T00:00:00,2013,2,February,Q1
D-0000462,2013-03-01T00:00:00,2013,3,March,Q1
D-0000463,2013-04-01T00:00:00,2013,4,April,Q2
D-0000464,2013-05-01T00:00:00,2013,5,May,Q2
D-0000465,2013-06-01T00:00:00,2013,6,June,Q2
